n,wV,dwV,Ifit,dIfit,CENTER,CENTER_err
446.0,21025.78766382999,14944.774057005901,2.4979537327110477,1.7755032409292848,-4.999999999999999,2.531252706820416
486.0,13481.240226766871,9821.35000481605,1.718313584660226,1.2518254143614134,-4.999999999999999,1.5861499543828532
516.0,12744.433026950765,10393.910900800114,1.3479252402010558,1.0993203713309052,-5.0,3.8781442259092604
536.0,6572.536752319232,4499.174173090452,0.48879462502515664,0.33460020624192044,-4.999999999999999,7.630891220888439
556.0,9952.261779127002,7163.109873771381,1.211711828543098,0.8721258700616699,-5.0,2.6185533074026477
576.0,9548.401694986529,6912.596154074139,1.3867158954169994,1.003917437877183,-4.999999999999999,2.5970301602887353
596.0,3170.453088229407,0.02783705034896077,1.2756300889283598,1.1200222184009382e-05,5.0,3.164558694747614
616.0,12003.291937638129,9094.946103431932,3.0493521123503333,2.310507255534578,-4.999999999999999,1.901664504092611
636.0,12168.202799571432,8955.22071650353,1.3835555827115076,1.0182313543597898,-5.0,4.065326397160156
656.0,4152.357011172965,0.025825816966594455,1.976897956049624,1.2295427545655612e-05,5.221262221882426,0.833411809780061
676.0,5706.376528143183,0.025832934609981775,2.2901113484456794,1.0367401523927267e-05,4.936049463209041,1.0405766376607708
696.0,5027.026484117896,0.025828271040585462,2.0812147607838334,1.0693036749462134e-05,5.409247680578053,1.1532926785698945
716.0,9481.642903001124,0.025905393479934254,3.485965562443132,9.524225967633338e-06,6.755146283831941,2.1259064507652474
736.0,14542.910106029854,0.025983156079963453,5.477122100357222,9.785724959105155e-06,-8.0,4.901611599147344
771.0,23937.34745425431,24038.315597045617,8.922387082536614,8.960021864532008,-7.999999999999999,9.650750636274886
